序号    学号           情感词      文档编号            极性    所在上下文                                                                           置信度      
55      1140332052     新买        13.txt              pos     新买的2013款新qq                                                                      1          
56      1140332052     朋友        14.txt              pos     但愿对刚入手瑞虎tt的朋友有所帮助                                                      1          
57      1140332052     手瑞        14.txt              pos     但愿对刚入手瑞虎tt的朋友有所帮助                                                      1          
58      1140332052     转载        14.txt              pos     转载：cvt驾驶技巧                                                                     1          
59      1140332052     正确        14.txt              pos     所以踩住刹车挂在“d”档和踩住刹车挂到“n”档拉手刹松脚刹都是正确的                    1          
60      1140332052     操作        14.txt              pos     后者的操作是可以让右脚放松放松                                                        1          
61      1140332052     低档        14.txt              neg     应使用“l”档或手动模式的低档                                                         1          
62      1140332052     热          14.txt              pos     避免长时间制动时使制动蹄片产生热衰退性                                                1          
63      1140332052     地下        14.txt              neg     上坡或地下停车库上坡时：应使用“l”档或手动档中的低速档                               1          
64      1140332052     上坡        14.txt              neg     上坡或地下停车库上坡时：应使用“l”档或手动档中的低速档                               1          
65      1140332052     d档         14.txt              pos     cvt自动模式（即d档）加速是最快的                                                      1          
66      1140332052     自动        14.txt              pos     cvt自动模式（即d档）加速是最快的                                                      1          
67      1140332052     最佳        14.txt              pos     手动模式不能完全利用发动机最佳转速                                                    1          
68      1140332052     急转弯      14.txt              pos     在泥泞或湿滑路面：避免突然起步、加速、刹车、变道、急转弯                              1          
69      1140332052     变道        14.txt              pos     在泥泞或湿滑路面：避免突然起步、加速、刹车、变道、急转弯                              1          
70      1140332052     以下        14.txt              pos     南无阿弥陀佛正确使用cvt无级变速箱还应注意以下几点：1                                  1          
71      1140332052     南          14.txt              pos     南无阿弥陀佛正确使用cvt无级变速箱还应注意以下几点：1                                  1          
72      1140332052     严重        14.txt              neg     换挡出现车辆严重抖动现象                                                              1          
73      1140332052     结构        14.txt              pos     由于cvt的结构和工作原理                                                               1          
74      1140332052     控制        14.txt              pos     所有的控制都是靠内部油压来进行完成的                                                  1          
75      1140332052     油量        14.txt              pos     所以应按照生产厂家指定的期限检查cvt的油质、油量                                       1          
76      1140332052     油质        14.txt              pos     所以应按照生产厂家指定的期限检查cvt的油质、油量                                       1          
77      1140332052     阻力        14.txt              pos     油多了阻力会变大                                                                      1          
78      1140332052     正          14.txt              pos     甚至产生箱体内外正压力                                                                1          
79      1140332052     压力        14.txt              pos     油少了压力会变弱                                                                      1          
80      1140332052     少          14.txt              pos     油少了压力会变弱                                                                      1          
81      1140332052     提高        14.txt              pos     为了最大限度的提高其燃油经济性                                                        1          
82      1140332052     扭矩        14.txt              pos     最大限度利用发动机的扭矩和功率输出                                                    1          
83      1140332052     车速        14.txt              pos     达到经济的车速                                                                        1          
84      1140332052     经济        14.txt              pos     达到经济的车速                                                                        1          
85      1140332052     经济性      14.txt              pos     从而提高燃油的经济性                                                                  1          
86      1140332052     零部件      14.txt              pos     假如对其相关的零部件或电路进行检修或断电之后                                          1          
87      1140332052     相关        14.txt              pos     假如对其相关的零部件或电路进行检修或断电之后                                          1          
88      1140332052     特殊        14.txt              pos     都要对内部进行一种特殊的设定程序才能使cvt发挥正常的状态                               1          
89      1140332052     内部        14.txt              pos     都要对内部进行一种特殊的设定程序才能使cvt发挥正常的状态                               1          
90      1140332052     蹩住        14.txt              pos     也就是说变速齿轮被蹩住了                                                              1          
91      1140332052     危害        14.txt              pos     你想长此以往对变速箱的危害是不小的                                                    1          
92      1140332052     东东        14.txt              pos     只希望这些东东对新入手瑞虎tt的朋友有所帮助                                            1          
93      1140332052     希望        14.txt              pos     只希望这些东东对新入手瑞虎tt的朋友有所帮助                                            1          
94      1140332052     豪华        15.txt              pos     6自动豪华                                                                             1          
95      1140332052     贵          15.txt              pos     倒车影像朋友们给个评价贵不                                                            1          
96      1140332052     不错        16.txt              pos     刚提车不错                                                                            1          
97      1140332052     行          16.txt              pos     一档提速也行                                                                          1          
98      1140332052     脱档        17.txt              neg     挂倒档的时候有时候自己竟脱档                                                          1          
99      1140332052     怕          17.txt              neg     听到我都怕了                                                                          1          
100     1140332052     听到        17.txt              neg     听到我都怕了                                                                          1          
101     1140332052     敢          17.txt              pos     我都不敢买了                                                                          1          
102     1140332052     类似        19.txt              pos     请问悦翔空调外循环和内循环的进气口的具体位置最近开暖风出现异味（类似尘土味和胶皮味缠在 1          
103     1140332052     具体        19.txt              pos     请问悦翔空调外循环和内循环的进气口的具体位置最近开暖风出现异味（类似尘土味和胶皮味缠在 1          
104     1140332052     进气口      19.txt              pos     请问悦翔空调外循环和内循环的进气口的具体位置最近开暖风出现异味（类似尘土味和胶皮味缠在 1          
105     1140332052     风道        19.txt              pos     我准备在网购空调清洁剂清洗一下风道                                                    1          
106     1140332052     悦翔        19.txt              pos     请问下悦翔的外循环和内循环进气口在哪啊                                                1          
107     1140332052     不然        2.txt               neg     不然                                                                                  1          
108     1140332052     肉          2.txt               neg     其实不是肉                                                                            1          
109     1140332052     轿车        2.txt               pos     想当年捷达还是运动型的轿车呢                                                          1          
110     1140332052     运动型      2.txt               pos     想当年捷达还是运动型的轿车呢                                                          1          
111     1140332052     跟上        2.txt               neg     我每次都2500-3500转换挡才跟上                                                         1          
112     1140332052     诧异        2.txt               neg     我也很诧异                                                                            1          
113     1140332052     柔          2.txt               pos     其实我每次起步感觉很柔                                                                1          
114     1140332052     如此        2.txt               pos     起步也如此                                                                            1          
115     1140332052     顿挫        2.txt               pos     没有太多的顿挫                                                                        1          
116     1140332052     顺畅        2.txt               pos     比较顺畅而已                                                                          1          
117     1140332052     弄丢        20.txt              pos     第二个车标上的编号给弄丢了啊                                                          1          
118     1140332052     省          21.txt              neg     一年省下3万块                                                                         1          
119     1140332052     概念        21.txt              neg     什么概念                                                                              1          
120     1140332052     费          21.txt              neg     你从打车的费中省下的钱                                                                1          
121     1140332052     没错        21.txt              neg     这句话一点儿都没错吧                                                                  1          
122     1140332052     低          21.txt              neg     别看v3菱悦的用车成本低                                                                1          
123     1140332052     差          21.txt              neg     但这款车型的实用性一点都不差                                                          1          
124     1140332052     实用性      21.txt              neg     但这款车型的实用性一点都不差                                                          1          
125     1140332052     时代        21.txt              neg     在如今的这个时代                                                                      1          
126     1140332052     指望        21.txt              pos     不要指望了                                                                            1          
127     1140332052     所谓        21.txt              pos     所谓两耳不闻窗外事                                                                    1          
128     1140332052     社会        21.txt              neg     这句话在如今的社会下                                                                  1          
129     1140332052     力          22.txt              pos     大天窗给力~~~爽最喜欢骏骏的超级大天窗了                                               1          
130     1140332052     进出        22.txt              pos     四个大人可以同时进出                                                                  1          
131     1140332052     大人        22.txt              pos     四个大人可以同时进出                                                                  1          
132     1140332052     极品        22.txt              pos     而且这么大的天窗在同级车中绝对算得上极品                                              1          
133     1140332052     天窗        22.txt              pos     而且这么大的天窗在同级车中绝对算得上极品                                              1          
134     1140332052     爽事        22.txt              pos     躺在车床上看天空数星星确实是件爽事                                                    1          
135     1140332052     星星        22.txt              pos     躺在车床上看天空数星星确实是件爽事                                                    1          
136     1140332052     躺在        22.txt              pos     躺在车床上看天空数星星确实是件爽事                                                    1          
137     1140332052     全新        25.txt              pos     全新胜达漏机油                                                                        1          
138     1140332052     好吧        25.txt              pos     好吧                                                                                  1          
139     1140332052     咯          25.txt              pos     我希望你们没有咯                                                                      1          
140     1140332052     隔离        25.txt              pos     我是隔离                                                                              1          
141     1140332052     好好        25.txt              pos     希望的打击的车都好好的                                                                1          
142     1140332052     打击        25.txt              pos     希望的打击的车都好好的                                                                1          
143     1140332052     知音        25.txt              pos     可是我真的想寻找一下知音啊                                                            1          
144     1140332052     价位        26.txt              pos     请各位帮我看看这个价位的polo                                                          1          
145     1140332052     帮我        26.txt              neg     请各位帮我看看这个价位的polo                                                          1          
146     1140332052     下          26.txt              neg     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      1          
147     1140332052     后备箱垫    26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      1          
148     1140332052     坐垫        26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      1          
149     1140332052     防爆膜      26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      1          
150     1140332052     真皮        26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      1          
151     1140332052     车带        26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      1          
152     1140332052     内饰        26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      1          
153     1140332052     现车        26.txt              neg     总共118000元~现车                                                                     1          
154     1140332052     诚心        26.txt              pos     觉得那个销售很诚心                                                                    1          
155     1140332052     买了        26.txt              pos     就买了~只是现在好多人说                                                               1          
156     1140332052     感激        26.txt              pos     到底算不算贵了~不慎感激~                                                              1          
157     1140332052     好用        28.txt              pos     abb的自带导航哪个更好用                                                               1          
158     1140332052     abb         28.txt              pos     abb的自带导航哪个更好用                                                               1          
159     1140332052     便捷        28.txt              pos     便捷                                                                                  1          
160     1140332052     精准        28.txt              pos     精准                                                                                  1          
161     1140332052     纯          29.txt              pos     本人屌丝一枚（纯的不能再纯的那种）                                                    1          
162     1140332052     劣          29.txt              neg     现附上劣图一些                                                                        1          
163     1140332052     htc         29.txt              neg     由于照片是用htcg7拍的                                                                 1          
164     1140332052     堵          29.txt              neg     基本上在市区比较堵的情况下                                                            1          
165     1140332052     高架        29.txt              neg     有一次从复兴上高架一直到石祥路下来                                                    1          
166     1140332052     定速        29.txt              neg     高架不算很堵用了定速巡航                                                              1          
167     1140332052     破天荒      29.txt              neg     油耗竟然破天荒的达到了5                                                               1          
168     1140332052     电能        29.txt              pos     由于开启空调需要大量的电能                                                            1          
169     1140332052     需要        29.txt              pos     这点确实需要改进                                                                      1          
170     1140332052     帮助        29.txt              pos     希望给没买车的准车主们一点帮助                                                        1          
171     1140332052     开心        29.txt              pos     同时也非常开心加入a4l这个大家庭                                                       1          
172     1140332052     zlcdjq      29.txt              pos     [本帖最后由zlcdjq于2013-06-3022:55:09编辑]                                            1          
173     1140332052     干净        3.txt               pos     白色的非常干净                                                                        1          
174     1140332052     显眼        3.txt               pos     在马路上很显眼                                                                        1          
175     1140332052     轮子        3.txt               pos     它把四个轮子上                                                                        1          
176     1140332052     红          3.txt               pos     和反光镜上都绑个红绳子                                                                1          
177     1140332052     见到        3.txt               pos     记得这不只是一次见到了                                                                1          
178     1140332052     ｓ          3.txt               pos     一看就是刚刚４ｓ店提回来的                                                            1          
179     1140332052     算了        3.txt               pos     耳朵上绑一个也就算了                                                                  1          
180     1140332052     破坏        3.txt               pos     转起来动平衡还不给破坏了啊                                                            1          
181     1140332052     掉色        3.txt               pos     红色掉色了染上轮毂                                                                    1          
182     1140332052     好看        3.txt               pos     就不好看了                                                                            1          
183     1140332052     弄          3.txt               pos     不知道为啥这么弄                                                                      1          
184     1140332052     为啥        3.txt               pos     不知道为啥这么弄                                                                      1          
185     1140332052     风俗        3.txt               pos     可能是一种风俗                                                                        1          
186     1140332052     错          30.txt              neg     总体感觉不错                                                                          1          
187     1140332052     达          30.txt              pos     就是2挡爬陡坡时感觉无力、还伴有达、达的异响                                           1          
188     1140332052     懂行        31.txt              pos     请懂行的各位莫拍我啊                                                                  1          
189     1140332052     奔          31.txt              pos     本来是奔着glk300去的                                                                  1          
190     1140332052     舒服        31.txt              pos     光泽很舒服                                                                            1          
191     1140332052     glk         31.txt              pos     因为一直谈着glk的价格                                                                 1          
192     1140332052     优惠        31.txt              pos     怎么优惠那么多啊                                                                      1          
193     1140332052     卖不掉      31.txt              neg     朋友偷偷和我说因为卖不掉肯定的                                                        1          
194     1140332052     汗          31.txt              pos     狂汗一个                                                                              1          
195     1140332052     求教        31.txt              pos     真心求教                                                                              1          
196     1140332052     后悔        32.txt              neg     买君威有点后悔啊                                                                      1          
197     1140332052     买君威      32.txt              neg     买君威有点后悔啊                                                                      1          
198     1140332052     号油        32.txt              neg     240块97号油                                                                           1          
199     1140332052     格          32.txt              neg     就只剩二格了                                                                          1          
200     1140332052     刺鼻        33.txt              neg     里面的刺鼻味道还有怎么解决                                                            1          
201     1140332052     用上        33.txt              neg     求高手什么招都用上了                                                                  1          
202     1140332052     竹炭包      33.txt              neg     什么竹炭包                                                                            1          
203     1140332052     外地        34.txt              pos     想外地购车                                                                            1          
204     1140332052     接车        34.txt              pos     请问下最近刚接车的同学                                                                1          
205     1140332052     地方        34.txt              pos     那地方的                                                                              1          
206     1140332052     舒适        35.txt              pos     君威变速箱问题新君威舒适版参数上是6档手自一体                                         1          
207     1140332052     违章        37.txt              neg     今天待着没事差了下违章                                                                1          
208     1140332052     待          37.txt              neg     今天待着没事差了下违章                                                                1          
209     1140332052     逛          37.txt              pos     逛了下某宝                                                                            1          
210     1140332052     自由        37.txt              pos     销量最高的自由舰不知道好不好用                                                        1          
211     1140332052     纵          37.txt              neg     [本帖最后由公羊天纵于2013-07-0100:03:18编辑]                                          1          
212     1140332052     伤害        38.txt              pos     这对车有什么伤害                                                                      1          
213     1140332052     失望        39.txt              neg     没让我失望过                                                                          1          
214     1140332052     实用        39.txt              pos     实用的配置                                                                            1          
215     1140332052     系统        39.txt              pos     还有那个四区系统                                                                      1          
216     1140332052     孩子        39.txt              pos     可能是自己的孩子怎么看都是好的哈哈                                                    1          
217     1140332052     满意        39.txt              pos     如果非要说不满意的地方                                                                1          
218     1140332052     x           39.txt              pos     毕竟是x1                                                                              1          
219     1140332052     好了        39.txt              pos     习惯了也就好了                                                                        1          
220     1140332052     讲究        39.txt              pos     内饰的用料也不是太讲究                                                                1          
221     1140332052     用料        39.txt              pos     内饰的用料也不是太讲究                                                                1          
222     1140332052     简单        39.txt              pos     保养过程很简单                                                                        1          
223     1140332052     预约        39.txt              pos     前一天预约                                                                            1          
224     1140332052     清楚        39.txt              pos     维修小姐说的还是比较清楚                                                              1          
225     1140332052     提出        39.txt              neg     我又提出能不能帮着清洁下                                                              1          
226     1140332052     黑          39.txt              neg     黑                                                                                    1          
227     1140332052     口舌        39.txt              neg     费了些口舌                                                                            1          
228     1140332052     答应        39.txt              pos     终于答应去请示下                                                                      1          
229     1140332052     免          39.txt              neg     免了这部分费用                                                                        1          
230     1140332052     瓶装        39.txt              neg     机油我要求用的是瓶装机油                                                              1          
231     1140332052     注          39.txt              neg     她打单子后用笔注了下                                                                  1          
232     1140332052     赶上        4.txt               pos     正好赶上做活动特价                                                                    1          
233     1140332052     力的        4.txt               pos     不过往车上装的时候倒是真够给力的                                                      1          
234     1140332052     真够        4.txt               pos     不过往车上装的时候倒是真够给力的                                                      1          
235     1140332052     搞定        4.txt               pos     电视直接搞定                                                                          1          
236     1140332052     闪亮        40.txt              pos     crv转向灯不亮双闪亮刚才发现一个问题                                                   1          
237     1140332052     亮          40.txt              pos     crv转向灯不亮双闪亮刚才发现一个问题                                                   1          
238     1140332052     crv         40.txt              pos     crv转向灯不亮双闪亮刚才发现一个问题                                                   1          
239     1140332052     显示        40.txt              pos     仪表盘没有显示                                                                        1          
240     1140332052     不得了      41.txt              neg     尼玛雅阁油漆也太软了吧今天第二次洗车洗完车车身细微划痕不得了啊我以前polo车的油漆也比雅 1          
241     1140332052     细微        41.txt              neg     尼玛雅阁油漆也太软了吧今天第二次洗车洗完车车身细微划痕不得了啊我以前polo车的油漆也比雅 1          
242     1140332052     不如        42.txt              pos     我加了97之后动力没感觉有什么进步但是提速反而不均匀了、总体觉得还不如93#               1          
243     1140332052     不均匀      42.txt              neg     我加了97之后动力没感觉有什么进步但是提速反而不均匀了、总体觉得还不如93#               1          
244     1140332052     进步        42.txt              pos     我加了97之后动力没感觉有什么进步但是提速反而不均匀了、总体觉得还不如93#               1          
245     1140332052     原先        43.txt              neg     不喜欢原先的按钮                                                                      1          
246     1140332052     老式        43.txt              neg     像老式电视机                                                                          1          
247     1140332052     高级        43.txt              pos     是不是显得高级点了                                                                    1          
248     1140332052     在意        44.txt              pos     心里不怎么在意                                                                        1          
249     1140332052     不舒服      44.txt              pos     但还是不舒服                                                                          1          
250     1140332052     嗒嗒        45.txt              pos     仪表“嗒嗒”的响                                                                      1          
251     1140332052     仪表        45.txt              pos     仪表“嗒嗒”的响                                                                      1          
252     1140332052     休克        45.txt              pos     然后休克                                                                              1          
253     1140332052     修车店      45.txt              neg     打电话给修车店                                                                        1          
254     1140332052     坏          45.txt              neg     老板说十有八九电瓶坏了                                                                1          
255     1140332052     极          45.txt              pos     我拆了电瓶两极                                                                        1          
256     1140332052     正极        45.txt              pos     发现正极还算干净                                                                      1          
257     1140332052     附着        45.txt              pos     但负极附着了很多白色粉末                                                              1          
258     1140332052     砂纸        45.txt              pos     用砂纸打磨                                                                            1          
259     1140332052     挂上        45.txt              pos     挂上二档                                                                              1          
260     1140332052     推          45.txt              pos     把车子推着了                                                                          1          
261     1140332052     充上        45.txt              pos     貌似充上了一点电                                                                      1          
262     1140332052     车门        45.txt              pos     至少顺利锁上了车门                                                                    1          
263     1140332052     说明        45.txt              pos     说明发电机和点火线圈没有问题                                                          1          
264     1140332052     发车        45.txt              pos     我真不知道明天早上能顺利发车不                                                        1          
265     1140332052     避让        46.txt              neg     自己为避让装过一次中央隔离带                                                          1          
266     1140332052     水箱        46.txt              neg     换了水箱等                                                                            1          
267     1140332052     特大        46.txt              neg     音响的音量特大                                                                        1          
268     1140332052     音量        46.txt              pos     音响的音量特大                                                                        1          
269     1140332052     说要        46.txt              neg     ssss的说要全车线路检测                                                                1          
270     1140332052     ssss        46.txt              neg     ssss的说要全车线路检测                                                                1          
271     1140332052     坏了        46.txt              pos     我怀疑是不是行车电脑的记忆什么的坏了                                                  1          
272     1140332052     记忆        46.txt              neg     我怀疑是不是行车电脑的记忆什么的坏了                                                  1          
273     1140332052     留言        47.txt              pos     看了zzy77留言说“我今天也遇到了踩死刹不住的情况                                       1          
274     1140332052     溜          47.txt              pos     一脚下去还往前溜了约1米左右                                                           1          
275     1140332052     黑噻        47.txt              neg     楼上有些车友没遇到不能就说别人在黑噻                                                  1          
276     1140332052     别人        47.txt              neg     楼上有些车友没遇到不能就说别人在黑噻                                                  1          
277     1140332052     惯性        47.txt              neg     和惯性吗                                                                              1          
278     1140332052     描述        47.txt              pos     html35楼zzy77同学的描述                                                               1          
279     1140332052     学          47.txt              pos     html35楼zzy77同学的描述                                                               1          
280     1140332052     提了        48.txt              neg     我的小3好像很费力我刚提了一辆13款的长城c30                                            1          
281     1140332052     费力        48.txt              neg     我的小3好像很费力我刚提了一辆13款的长城c30                                            1          
282     1140332052     心得        49.txt              pos     c30用车一星期心得                                                                     1          
283     1140332052     精          49.txt              pos     有图求版主认证设精21号提的车                                                          1          
284     1140332052     星期        49.txt              pos     开了一星期感觉还不错                                                                  1          
285     1140332052     瑟瑟        49.txt              pos     除了换挡有点瑟瑟的                                                                    1          
286     1140332052     如图        49.txt              neg     车震神马的还是可以有的如图                                                            1          
287     1140332052     正面        49.txt              pos     求版主认证侧面霸气侧漏哈哈15寸的小脚还行吧侧看很霸气正面菊花很一般侧面看着流线不错    1          
288     1140332052     霸气        49.txt              neg     求版主认证侧面霸气侧漏哈哈15寸的小脚还行吧侧看很霸气正面菊花很一般侧面看着流线不错    1          
289     1140332052     小脚        49.txt              pos     求版主认证侧面霸气侧漏哈哈15寸的小脚还行吧侧看很霸气正面菊花很一般侧面看着流线不错    1          
290     1140332052     近视眼      49.txt              pos     感觉比赛欧好看多了小c的近视眼                                                         1          
291     1140332052     高啊        49.txt              neg     长城做的算是不错的了硬塑料无力吐槽储物盒档杆看着还挺有档次的后排空间不错啊4s送的贴膜质 1          
292     1140332052     值          5.txt               pos     0l自动尊享版值不值                                                                    1          
293     1140332052     版本        5.txt               pos     问下有没有该版本的试驾车                                                              1          
294     1140332052     级别        5.txt               pos     该级别当中比较                                                                        1          
295     1140332052     劲智        5.txt               pos     8自动劲智的                                                                           1          
296     1140332052     表示        5.txt               pos     也表示能接受                                                                          1          
297     1140332052     带t         5.txt               pos     只见过带t的跟1                                                                        1          
298     1140332052     看到        5.txt               pos     边看到旁边的c5                                                                        1          
299     1140332052     保险        5.txt               pos     包牌包保险19万                                                                        1          
300     1140332052     徘徊        5.txt               neg     这样我就徘徊在两个车之间                                                              1          
301     1140332052     难          5.txt               neg     这两万有点难                                                                          1          
302     1140332052     灵活        5.txt               pos     灵活                                                                                  1          
303     1140332052     好找        5.txt               pos     找个停车位都不好找                                                                    1          
304     1140332052     权衡        5.txt               pos     权衡再三                                                                              1          
305     1140332052     商量        5.txt               pos     跟家人商量了下                                                                        1          
306     1140332052     磨          5.txt               pos     然后再磨                                                                              1          
307     1140332052     满足        5.txt               pos     我们还是不满足                                                                        1          
308     1140332052     请来        5.txt               neg     最后把他的上级经理请来了一起谈                                                        1          
309     1140332052     上级        5.txt               pos     最后把他的上级经理请来了一起谈                                                        1          
310     1140332052     了解        5.txt               pos     了解了下情况                                                                          1          
311     1140332052     降          5.txt               pos     又降了1千                                                                             1          
312     1140332052     值得        5.txt               neg     值得吗                                                                                1          
313     1140332052     远          50.txt              pos     近光灯能照多远                                                                        1          
314     1140332052     灯          50.txt              pos     我的车近光灯只能看到两三米远                                                          1          
315     1140332052     调试        50.txt              pos     请问怎么调试呢                                                                        1          
316     1140332052     补贴        51.txt              pos     昆明车展优惠2000+2000（礼包）+3000（补贴）                                            1          
317     1140332052     关注        51.txt              pos     直奔最关注的c50                                                                       1          
318     1140332052     以为        51.txt              pos     还以为能看见升级版                                                                    1          
319     1140332052     说的        51.txt              pos     其实吃胎我不太相信论坛里说的                                                          1          
320     1140332052     重要        51.txt              pos     车这种东西自己喜欢自己感觉好才重要                                                    1          
321     1140332052     合资        51.txt              pos     其它合资车不也有各种问题么                                                            1          
322     1140332052     决定        51.txt              pos     其实已经决定了就是c50                                                                 1          
323     1140332052     后来        51.txt              pos     后来就没有后来了                                                                      1          
324     1140332052     太重        51.txt              neg     因为c50后面太重了                                                                     1          
325     1140332052     否定        51.txt              neg     她没有肯定也没有否定                                                                  1          
326     1140332052     看得        51.txt              neg     但看得出来她知道这个问题的                                                            1          
327     1140332052     奇怪        51.txt              neg     还有很奇怪                                                                            1          
328     1140332052     厂商        51.txt              pos     打多数厂商都这样                                                                      1          
329     1140332052     怎样        51.txt              pos     不管怎样                                                                              1          
330     1140332052     体验        51.txt              pos     自己喜欢的东西体验了才知道                                                            1          
331     1140332052     缺点        51.txt              pos     况且不能把缺点放大                                                                    1          
332     1140332052     明显        51.txt              pos     c50的优点还是很明显的                                                                 1          
333     1140332052     优点        51.txt              pos     c50的优点还是很明显的                                                                 1          
334     1140332052     异响        53.txt              pos     尚酷r换挡异响                                                                         1          
335     1140332052     酷          53.txt              pos     尚酷r换挡异响                                                                         1          
336     1140332052     主们        53.txt              pos     版主们过来帮帮忙低速一档升二档                                                        1          
337     1140332052     影响        53.txt              pos     但不影响行使                                                                          1          
338     1140332052     烦躁        53.txt              neg     这声音在安静的地方听着很烦躁                                                          1          
339     1140332052     安静        53.txt              pos     这声音在安静的地方听着很烦躁                                                          1          
